,Name,Rating,Price Rs,RAM Gb,ROM Gb,Expandable GB,Size Cm,Size Inch,R1 Cam MP,R2 Cam MP,R3 Cam MP,R4 Cam MP,Battery Mah,Processor,Image,Brand
608,"Tecno Camon 15 Pro (Ice Jadite, 128 GB)",4.1,"15,999",6,128,256.0,16.59,6.53,48.0,2.0,5,,4000,Helio P35 MT6765 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
609,"Honor 20 (Sapphire Blue, 128 GB)",4.4,"22,999",6,128,,15.9,6.26,48.0,2.0,16,,3750,HiSilicon Kirin 980 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Honor
610,"OPPO F9 Pro (Sunrise Red, 64 GB)",4.5,"19,990",6,64,256.0,16.0,6.3,16.0,2.0,,,3500,Mediatek Helio P60 Octacore 2.0 GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,OPPO
611,"Redmi 6 Pro (Red, 32 GB)",4.3,"11,000",3,32,256.0,14.83,5.84,12.0,5.0,,,4000,Qualcomm Snapdragon 625 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Redmi
612,"Gionee P7 (Gold, 16 GB)",3.8,"7,999",2,16,128.0,12.7,5.0,8.0,,,,2300,Quad Core 1.3GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
613,"Samsung M01 core (Blue, 32 GB)",3.7,"6,540",2,32,512.0,13.46,5.3,8.0,,,,3000,MediaTek | MT6739WW quad core� Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
614,"Honor 9x Pro (Phantom Purple, 256 GB)",3.8,"17,999",6,256,512.0,16.74,6.59,48.0,8.0,2,,4000,Kirin 810 (7 nm Chipset with NPU) Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Honor
615,"Honor 9x Pro (Midnight Black, 256 GB)",3.8,"17,999",6,256,512.0,16.74,6.59,48.0,8.0,2,,4000,Kirin 810 (7 nm Chipset with NPU) Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Honor
616,"Nokia 3.2 (Black, 32 GB)",4.1,"11,900",3,32,400.0,15.9,6.26,13.0,,,,4000,Qualcomm Snapdragon 429 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Nokia
617,"Redmi Note 5 (Blue, 64 GB)",4.4,"12,990",4,64,128.0,15.21,5.99,12.0,,,,4000,Qualcomm Snapdragon 625 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Redmi
618,"Gome U7 (Black, 128 GB)",2.9,"9,789",6,128,256.0,15.21,5.99,13.0,,,,3100,QUAD CORE Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
619,"Samsung Galaxy M21 (Raven Black, 128 GB)",4.3,"17,890",6,128,512.0,16.26,6.4,48.0,8.0,5,,6000,Exynos 9611-Octa Core processor Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
620,"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)",4.4,"22,999",8,128,512.0,16.94,6.67,64.0,8.0,,,5020,Qualcomm Snapdragon 720G Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Redmi
621,"Samsung Galaxy M11 (Black, 32 GB)",4.2,"10,888",3,32,512.0,16.26,6.4,13.0,5.0,2,,5000,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
622,"Vivo Y83 (Black, 32 GB)",4.4,"11,770",4,32,256.0,15.8,6.22,13.0,,,,3260,Mediatek Helio P22 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Vivo
623,"Tecno Camon i (Champagne Gold, 32 GB)",4.0,"8,999",3,32,128.0,14.35,5.65,13.0,,,,3050,MediaTek MT6737 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
624,"HTC 10 (Topaz Gold, 32 GB)",4.2,"56,690",4,32,2.0,13.21,5.2,12.0,,,,3000,Qualcomm Snapdragon 820 64-bit Quad Core 2.2GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
625,"Gionee S10 Lite (Black, 32 GB)",4.1,"9,984",4,32,256.0,13.21,5.2,13.0,,,,3100,Qualcomm Snapdragon MSM8920 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
626,"Panasonic Eluga I8 (Charcoal Black, 32 GB)",3.8,"8,145",3,32,512.0,15.8,6.22,13.0,,,,4000,Meditek Processor,https://rukminim1.flixcart.com/image/312/312/kelptow0/mobile/x/q/7/i-kall-k10-k10-original-imafv8w7amhdsvay.jpeg?q=70,
627,"Vivo Y71 (Matte Black, 16 GB)",4.3,"10,900",3,16,256.0,15.24,6.0,13.0,,,,3360,Qualcomm Snapdragon 425 Processor,https://rukminim1.flixcart.com/image/312/312/jgb5dow0/mobile/x/r/h/vivo-y71-1724-original-imaf48j5gmwpynym.jpeg?q=70,Vivo
628,"Vivo Y71 (Gold, 16 GB)",4.3,"10,900",3,16,256.0,15.24,6.0,13.0,,,,3360,Qualcomm Snapdragon 425 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Vivo
629,"Vivo Y71 (Matte Black, 32 GB)",4.3,"12,000",4,32,256.0,15.24,6.0,13.0,,,,3360,Qualcomm Snapdragon 425 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Vivo
630,"I Kall K260 (Blue, 16 GB)",,"4,699",2,16,,13.84,5.45,8.0,,,,4000,"Quad Core, 1.3 GHz�Processor",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
631,"I Kall K260 (Purple, 16 GB)",,"4,699",2,16,,13.84,5.45,8.0,,,,4000,"Quad Core, 1.3 GHz�Processor",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
632,"I Kall K260 (Green, 16 GB)",,"4,699",2,16,,13.84,5.45,8.0,,,,4000,"Quad Core, 1.3 GHz�Processor",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
633,"Forme R7S (Champagne Gold, 16 GB)",3.5,"6,999",3,16,64.0,13.97,5.5,13.0,,,,2900,Mediatek MTK6737 Quad-core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
634,"Redmi 8A (Sunset Red, 32 GB)",4.3,"8,999",3,32,512.0,15.8,6.22,12.0,,,,5000,Qualcomm Snapdragon 439 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Redmi
635,"Samsung Galaxy M11 (Violet, 32 GB)",4.2,"10,897",3,32,512.0,16.26,6.4,13.0,5.0,2,,5000,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
636,"OPPO F9 Pro (Starry Purple, 64 GB)",4.5,"21,150",6,64,256.0,16.0,6.3,16.0,2.0,,,3500,Mediatek Helio P60 Octacore 2.0 GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,OPPO
637,"Redmi Note 6 Pro (Blue, 64 GB)",4.5,"14,490",6,64,256.0,15.9,6.26,12.0,5.0,,,4000,Qualcomm Snapdragon 636 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Redmi
638,"Samsung Galaxy M31 (Space Black, 64 GB)",4.3,"18,105",6,64,512.0,16.26,6.4,64.0,8.0,5,5.0,6000,Samsung Exynos 9 Octa 9611 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
639,"Meizu C9 (Gold, 16 GB)",4.1,"5,699",2,16,128.0,13.84,5.45,13.0,,,,3000,QUAD CORE Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
640,"Samsung Galaxy S20 Ultra (Cosmic Gray, 128 GB)",4.3,"97,999",12,128,1.0,17.53,6.9,108.0,48.0,12,,5000,Exynos 990 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
641,"Samsung Galaxy J7 Prime (Gold, 16 GB)",4.2,"14,999",3,16,256.0,13.97,5.5,13.0,,,,3300,Exynos 7870 Octa Core 1.6GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
642,"OPPO Reno 10x Zoom (Ocean Green, 256 GB)",4.4,"41,990",8,256,256.0,16.76,6.6,48.0,13.0,8,,4065,Qualcomm Snapdragon 855 Octa Core 2.8 GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,OPPO
